timestamp,type,content,status
2025-05-15 19:50:15,phishing_url,https://facebookcase1477777.web.app/appeal.html,reported
2025-05-15 19:50:41,phishing_url,https://oximedica.com/wp-includes/imgs/att.php,reported
2025-05-15 20:01:11,phishing_url,https://httpsservices.runescape.com-ov.ru/,reported
2025-05-15 20:04:39,reported_phishing.csv,https://koshiki-roguinamazn.myvnc.com/L5sMnlT,reported
2025-05-15 20:07:06,phishing_email.csv,Click here to claim your prize,reported
2025-05-15 20:12:31,phishing_email.csv,Urgent security alert,reported
2025-05-15 21:46:29,phishing_url,https://www.isamayy.com/oro/,reported
2025-05-15 21:49:18,phishing_url,http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/,reported
2025-05-15 21:49:21,phishing_url,http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/,reported
2025-05-15 21:49:22,phishing_url,http://ckkfecwxlhzlisryjywxsjdpsp-dot-gle39404049.rj.r.appspot.com/,reported
2025-05-15 21:54:35,phishing_url,https://koshiki-roguinamazn.myvnc.com/L5sMnlT,reported
